objid,ra,dec,modelmag_r,modelmagerr_r,extinction_r,redshift,zErr
1237667444048527520,194.547630285408,27.9399482768898,16.0485,0.00356747,0.02618181,0.02838481,1.052408E-05
1237667444048527527,194.546304197759,27.860264491772,17.33707,0.006717346,0.02482724,0.02335937,2.582816E-05
1237667444048527531,194.548547795801,27.893662083772,17.5567,0.008465068,0.02504982,0.01914904,2.499912E-05
1237667444048527567,194.575873183531,27.8484888859698,17.02693,0.007362528,0.02509525,0.02528228,3.157543E-05
1237667444048527574,194.591637331313,27.8922832859017,16.018,0.004021638,0.02603694,0.02435052,1.643394E-05
1237667444048527579,194.59282730974,27.8847774974709,17.10201,0.006185249,0.0259753,0.01453775,1.990981E-05
1237667444048527610,194.640712940872,27.8367690222357,17.06937,0.006339274,0.02641868,0.01503399,2.625583E-05
1237667444048527614,194.662268736912,27.9538686676223,16.59386,0.00441752,0.02532435,0.0199885,1.485124E-05
1237667444048527619,194.653129318498,27.8494820556382,17.24807,0.005757746,0.02796839,0.02055939,1.704507E-05
1237667444048527629,194.658997052094,27.8225827526021,17.33686,0.01095918,0.02653872,0.01798755,5.269511E-05
1237667444048527840,194.650332421478,27.8728881655502,17.39023,0.01524938,0.02818588,0.02366776,9.281345E-05
1237667444048592910,194.703028661819,27.8104347379211,13.93778,0.001978141,0.0290563,0.01974443,7.110735E-06
1237667444048592912,194.721057338949,27.8134254983291,15.5658,0.00320623,0.03080684,0.01842033,9.559629E-06
1237667444048592938,194.730217197329,27.9647019571191,15.26374,0.002674831,0.02627085,0.01889264,8.049089E-06
1237667444048592948,194.733084612909,27.8333723952429,14.14917,0.002633308,0.03259711,0.02510278,8.799095E-06
1237667444048592965,194.727648509536,27.7956168189585,16.44166,0.004192044,0.02891477,0.02158206,1.486241E-05
1237667444048592990,194.775094426765,27.9966984268305,14.16541,0.002057863,0.024055,0.02557481,7.814225E-06
1237667444048593040,194.813531168594,27.9707257794689,14.34617,0.002156744,0.02498369,0.01608296,8.188733E-06
1237667444048593041,194.804612240889,27.9769750883,15.81319,0.003468532,0.02498649,0.02260663,9.854182E-06
1237667444048593084,194.783101527507,27.8549624478049,14.44068,0.002153396,0.03176772,0.02192698,7.159726E-06
1237667444048593146,194.8340568652,27.8859921035639,15.17129,0.002820483,0.02751349,0.02162358,8.654927E-06
1237667444048593192,194.669716871835,27.8269172190354,16.32151,0.004942367,0.02781927,0.02057693,2.046191E-05
1237667444048593198,194.689411138307,27.8799578659763,17.65862,0.01016633,0.03084408,0.0282389,4.020042E-05
