wavelength_A,flux
4689.212,8.6686945
4690.2935,10.2633505
4691.3726,6.288271
4692.454,7.050837
4693.5337,5.0041647
4694.616,8.031124
4695.6963,5.6931114
4696.7764,6.657455
4697.8594,8.6989565
4698.94,5.8704853
4700.024,2.0404558
4701.105,6.7944517
4702.189,6.965777
4703.2705,6.938783
4704.3525,6.765068
4705.4375,6.2681684
4706.52,6.2375183
4707.6055,5.528509
4708.6885,6.368479
4709.774,7.751215
4710.8574,6.974644
4711.9414,6.4512105
4713.028,8.396921
4714.1123,9.505911
4715.199,7.5565577
4716.2837,7.5233583
4717.3716,7.472644
4718.4565,7.4219403
4719.542,7.371249
4720.6304,7.3205686
4721.7163,7.2698994
4722.805,7.219241
4723.8916,7.168595
4724.981,7.117959
4726.068,8.455973
4727.1553,6.199578
4728.245,6.3508625
4729.333,8.018841
4730.424,6.989861
4731.5117,6.8558993
4732.603,6.0432568
4733.692,5.6389384
4734.781,6.795615
4735.8726,6.9103065
4736.962,6.7983685
4738.054,5.5124927
4739.144,7.8039527
4740.2373,8.003341
4741.3276,7.6231318
4742.421,8.5703945
4743.5117,7.754794
4744.603,6.8409753
4745.6973,7.9948616
4746.789,8.080574
4747.884,9.809574
4748.9756,8.670988
4750.071,5.4509687
4751.1636,7.690538
4752.257,8.504765
4753.3525,6.173956
4754.446,6.7664013
4755.5425,5.640231
4756.636,4.776459
4757.7334,7.019864
4758.8276,7.39873
4759.9224,6.7807927
4761.02,6.1672087
4762.115,5.5714884
4763.2134,7.722584
4764.3096,5.8170257
4765.408,7.3063064
4766.5044,5.7745695
4767.6006,5.892081
4768.7,6.5480585
4769.7974,7.348376
4770.897,7.3409758
4771.9946,7.3121796
4773.095,6.0341983
4774.1934,6.7081127
4775.2915,5.5411634
4776.3926,6.9769106
4777.491,7.8746634
4778.5933,8.881856
4779.6924,8.841042
4780.7944,7.281133
4781.8945,6.2459264
4782.9946,5.767187
4784.097,7.308767
4785.1978,8.824938
4786.3013,7.577263
4787.4023,5.5810127
4788.5063,6.109348
4789.608,8.130748
4790.71,6.399025
4791.8145,5.476923
4792.917,5.8992815
4794.0225,6.0049467
4795.125,9.052142
4796.231,7.6246467
4797.334,7.3603945
4798.438,5.205775
4799.5444,5.9177103
4800.6484,6.998562
4801.7554,6.6094065
4802.8604,6.9631743
4803.968,5.834522
4805.0728,6.477246
4806.178,7.0783076
4807.2866,7.4640994
4808.3926,5.9338393
4809.501,6.3949533
4810.6074,6.997906
4811.717,8.043019
4812.8237,8.403087
4813.931,6.985291
4815.041,8.17234
4816.149,9.360092
4817.2593,6.801704
4818.3677,6.3195863
4819.4785,7.824479
4820.5874,8.36625
4821.6963,7.78799
4822.808,7.8612795
4823.918,6.8512588
4825.0303,6.518608
4826.14,6.9068046
4827.253,5.6470976
4828.364,6.188049
4829.477,7.5208464
4830.588,7.195132
4831.699,4.980071
4832.8135,7.4410424
4833.9253,7.19653
